Days ago,Date,Yield(Wh),Max. PV power(W),Max. PV voltage(V),Min. battery voltage(V),Max. battery voltage(V),Time in bulk(m),Time in absorption(m),Time in float(m),Last error,2nd last error,3rd last error,4th last error
0,9/2/20,200,61.00,32.29,13.24,13.46,743,0,0,0,0,0,0
1,9/1/20,340,252.00,37.09,13.25,14.21,583,124,60,0,0,0,0
2,8/31/20,320,278.00,37.47,13.25,14.21,574,120,78,0,0,0,0
3,8/30/20,600,321.00,37.68,13.22,14.28,653,124,0,0,0,0,0
4,8/29/20,200,185.00,32.66,13.24,13.57,739,0,0,0,0,0,0
5,8/28/20,500,269.00,36.83,13.23,14.21,606,123,49,0,0,0,0
6,8/27/20,190,70.00,33.03,13.24,13.46,782,0,0,0,0,0,0
7,8/26/20,430,264.00,36.51,13.25,14.21,590,120,76,0,0,0,0
8,8/25/20,510,262.00,37.67,13.25,14.21,665,127,0,0,0,0,0
9,8/24/20,560,254.00,35.25,13.24,14.21,692,91,0,0,0,0,0
10,8/23/20,400,233.00,34.33,13.25,13.64,798,0,0,0,0,0,0
11,8/22/20,450,280.00,35.84,13.25,14.21,620,120,55,0,0,0,0
12,8/21/20,410,275.00,35.86,13.25,14.21,621,120,65,0,0,0,0
13,8/20/20,340,293.00,35.51,13.25,14.21,591,120,91,0,0,0,0
14,8/19/20,420,276.00,37.66,13.25,14.24,545,266,0,0,0,0,0
15,8/18/20,470,303.00,36.91,13.25,14.29,602,122,73,0,0,0,0
16,8/17/20,570,275.00,37.30,13.24,14.22,669,136,0,0,0,0,0
17,8/16/20,620,231.00,36.36,13.22,13.62,841,0,0,0,0,0,0
18,8/15/20,800,280.00,37.45,13.22,14.22,776,60,0,0,0,0,0
19,8/14/20,570,308.00,38.63,13.22,14.23,396,120,304,0,0,0,0
20,8/13/20,490,190.00,34.24,13.25,13.61,824,0,0,0,0,0,0
21,8/12/20,600,276.00,36.14,13.24,14.22,677,148,0,0,0,0,0
22,8/11/20,570,249.00,35.20,13.25,14.23,691,138,0,0,0,0,0
23,8/10/20,520,269.00,36.56,13.25,14.21,718,107,0,0,0,0,0
24,8/9/20,510,271.00,36.14,13.25,14.25,616,209,0,0,0,0,0
25,8/8/20,440,250.00,36.26,13.25,14.24,617,148,58,0,0,0,0
26,8/7/20,410,285.00,35.80,13.25,14.21,621,147,66,0,0,0,0
27,8/6/20,460,293.00,35.37,13.25,14.21,633,120,91,0,0,0,0
28,8/5/20,660,292.00,35.12,13.23,13.67,841,0,0,0,0,0,0
29,8/4/20,210,73.00,34.64,13.24,13.45,785,0,0,0,0,0,0
30,8/3/20,610,296.00,35.85,13.25,14.21,682,159,0,0,0,0,0
